cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed,target
1,1788974373,1216532,14,31,0,0,1,0,30,41,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
2,1788974401,1263832,14,29,0,0,2,0,894,1191,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
3,1788974430,1269420,14,29,0,0,3,0,1758,2344,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
4,1788974459,1269424,14,29,0,0,4,0,2622,3495,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
5,1788974488,1269452,14,29,0,0,5,0,3490,4652,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
6,1788974517,1269452,14,29,0,0,6,0,4353,5802,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
7,1788974545,1269452,14,29,0,0,7,0,5217,6955,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
8,1788974574,1269452,14,29,0,0,8,0,6081,8105,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
9,1788974603,1269456,14,29,0,0,9,0,6945,9259,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
10,1788974632,1269456,14,29,0,0,10,0,7812,10413,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
11,1788974661,1269456,14,29,0,0,11,0,8676,11566,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
12,1788974689,1269456,14,29,0,0,12,0,9540,12717,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
13,1788974718,1269456,14,29,0,0,13,0,10404,13870,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
14,1788974747,1269456,14,29,0,0,14,0,11268,15020,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
15,1788974776,1269456,14,29,0,0,15,0,12134,16176,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
16,1788974805,1269456,14,29,0,0,16,0,12998,17326,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
17,1788974833,1269456,14,29,0,0,17,0,13861,18479,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
18,1788974862,1269460,14,29,0,0,18,0,14725,19629,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
19,1788974891,1269460,14,29,0,0,19,0,15588,20781,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
20,1788974920,1269464,14,29,0,0,20,0,16454,21935,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
21,1788974949,1269464,14,29,0,0,21,0,17318,23087,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
22,1788974977,1269464,14,29,0,0,22,0,18182,24237,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
23,1788975006,1269464,14,29,0,0,23,0,19046,25390,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
24,1788975035,1269464,14,29,0,0,24,0,19910,26540,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
25,1788975064,1269464,14,29,0,0,25,0,20776,27696,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
26,1788975092,1269464,14,29,0,0,26,0,21640,28846,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
27,1788975121,1269464,14,29,0,0,27,0,22504,29999,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
28,1788975150,1269464,14,29,0,0,28,0,23368,31150,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
29,1788975179,1269468,14,29,0,0,29,0,24232,32303,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
30,1788975208,1269468,14,29,0,0,30,0,25099,33457,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
31,1788975237,1269468,14,29,0,0,31,0,25963,34611,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
32,1788975265,1269468,14,29,0,0,32,0,26828,35762,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
33,1788975294,1269468,14,29,0,0,33,0,27691,36914,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
