#ts|obs_rel_s|run_rel_s|label|reason|ok|bytes|lines|md5
1789000747|0|3|start|startup|OK|160853|5200|d1c4cd9e42564526da127ad0e25428ef
1789000757|10|13|trig-1|trigger_positive|OK|224319|7375|478e474cf3283bf413e3afcd7708fdd1
1789000767|20|23|trig-2|trigger_positive|OK|224319|7375|6f88dea8a65ee05f3c8c986ca5955559
1789000772|25|28|post-1|post_observation|OK|224319|7375|74e00925d4de162a6041431cd508d582
1789000782|35|38|post-2|post_observation|OK|224319|7375|b3a9fc8eded0bb0187173d0b87cbe8d2
1789000787|40|43|trig-3|trigger_positive|OK|224319|7375|b27b90b9c93767dd03ac3fffe90b467b
1789000802|55|58|post-3|post_observation|OK|224319|7375|7c86123c796a290cdf96522433eff036
1789001047|300|303|base-303|base_periodic|OK|224319|7375|298cbf9c67edfd6563490d727783ecba
1789001347|600|603|base-603|base_periodic|OK|224319|7375|f8c9d92101133c8973970b897a7694cd
1789001647|900|903|base-903|base_periodic|OK|224319|7375|2cc14e3a0447aba4c79f8ed61479f3dd
1789001947|1200|1203|base-1203|base_periodic|OK|224319|7375|07c889d8a858968750fb42b02d846d67
1789002247|1500|1503|base-1503|base_periodic|OK|225758|7425|2bf8a35c691ecaf11b84d0f4905ef21c
1789002547|1800|1803|base-1803|base_periodic|OK|224319|7375|ddd4ddda011d3e9e3f7ef16c61af9103
1789002847|2100|2103|base-2103|base_periodic|OK|224319|7375|ddd4ddda011d3e9e3f7ef16c61af9103
1789003147|2400|2403|base-2403|base_periodic|OK|224319|7375|2922802b3c8391ced84c0b690afa3198
1789003447|2700|2703|base-2703|base_periodic|OK|224319|7375|57907a5c4f2a48e6a9bbc502cc9f3272
1789003747|3000|3003|base-3003|base_periodic|OK|224319|7375|f682dd490d3b9e587afe3efdfa51602d
1789004047|3300|3303|base-3303|base_periodic|OK|224319|7375|d8ea770cba38819b073bd504fc5f0534
1789004347|3600|3603|base-3603|base_periodic|OK|224319|7375|92b8148064310f0358f68621cac2aecc
1789004647|3900|3903|base-3903|base_periodic|OK|224319|7375|169224ece02bc9308ced9dcf42fdc612
1789004947|4200|4203|base-4203|base_periodic|OK|224319|7375|169224ece02bc9308ced9dcf42fdc612
1789005247|4500|4503|base-4503|base_periodic|OK|224319|7375|1baebb0f6087ca057c52e5ca62c2d72a
1789005547|4800|4803|base-4803|base_periodic|OK|224319|7375|a4eba0e76fa6d0d6a0e056a4002bbe94
1789005847|5100|5103|base-5103|base_periodic|OK|225758|7425|abe22bb5908d1aad414ab77a9ad0ef50
1789006147|5400|5403|base-5403|base_periodic|OK|224319|7375|1cd2f12ce326a144d643de6fa320d5a3
