cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed,target
1,1789000750,1231692,14,31,0,0,1,0,29,38,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
2,1789000779,1265528,14,29,0,0,2,0,891,1189,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
3,1789000808,1271116,14,29,0,0,3,0,1757,2343,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
4,1789000837,1271120,14,29,0,0,4,0,2619,3493,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
5,1789000866,1271132,14,29,0,0,5,0,3491,4655,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
6,1789000895,1271132,14,29,0,0,6,0,4355,5806,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
7,1789000923,1271132,14,29,0,0,7,0,5220,6959,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
8,1789000952,1271136,14,29,0,0,8,0,6083,8110,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
9,1789000981,1271136,14,29,0,0,9,0,6948,9262,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
10,1789001010,1271136,14,29,0,0,10,0,7813,10416,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
11,1789001039,1271136,14,29,0,0,11,0,8678,11569,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
12,1789001067,1271136,14,29,0,0,12,0,9540,12719,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
13,1789001096,1271136,14,29,0,0,13,0,10405,13871,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
14,1789001125,1271136,14,29,0,0,14,0,11268,15022,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
15,1789001154,1271140,14,29,0,0,15,0,12136,16177,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
16,1789001183,1271140,14,29,0,0,16,0,12999,17328,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
17,1789001211,1271144,14,29,0,0,17,0,13863,18480,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
18,1789001240,1271144,14,29,0,0,18,0,14726,19631,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
19,1789001269,1271144,14,29,0,0,19,0,15591,20783,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
20,1789001298,1271144,14,29,0,0,20,0,16456,21937,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
21,1789001327,1271144,14,29,0,0,21,0,17321,23089,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
22,1789001355,1271144,14,29,0,0,22,0,18184,24239,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
23,1789001384,1271144,14,29,0,0,23,0,19048,25391,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
24,1789001413,1271144,14,29,0,0,24,0,19911,26541,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
