#ts|obs_rel_s|run_rel_s|label|reason|VmSize_kb,VmRSS_kb,VmData_kb,VmPeak_kb,VmSwap_kb,RssAnon_kb,RssFile_kb,RssShmem_kb,Threads
1789017774|0|287|start|startup|2888904,1269136,1490656,2888928,0,1252900,16228,8,29
1789018074|300|587|base-587|base_periodic|2888904,1269140,1490656,2888928,0,1252904,16228,8,29
1789018374|600|887|base-887|base_periodic|2888904,1269144,1490656,2888928,0,1252908,16228,8,29
1789018674|900|1187|base-1187|base_periodic|2888904,1269152,1490660,2888928,0,1252916,16228,8,29
1789018974|1200|1487|base-1487|base_periodic|2888904,1269152,1490660,2888928,0,1252916,16228,8,29
1789019274|1500|1787|base-1787|base_periodic|2888904,1269164,1490660,2888928,0,1252928,16228,8,29
1789019574|1800|2087|base-2087|base_periodic|2888904,1269164,1490660,2888928,0,1252928,16228,8,29
1789019874|2100|2387|base-2387|base_periodic|2888904,1269164,1490660,2888928,0,1252928,16228,8,29
1789020174|2400|2687|base-2687|base_periodic|2888904,1269168,1490660,2888928,0,1252932,16228,8,29
1789020474|2700|2987|base-2987|base_periodic|2888904,1269172,1490660,2888928,0,1252936,16228,8,29
1789020774|3000|3287|base-3287|base_periodic|2888904,1269184,1490660,2888928,0,1252948,16228,8,29
1789021074|3300|3587|base-3587|base_periodic|2888904,1269188,1490660,2888928,0,1252952,16228,8,29
1789021374|3600|3887|base-3887|base_periodic|2888904,1269196,1490664,2888928,0,1252960,16228,8,29
1789021674|3900|4187|base-4187|base_periodic|2888904,1269196,1490664,2888928,0,1252960,16228,8,29
1789021974|4200|4487|base-4487|base_periodic|2888904,1269200,1490664,2888928,0,1252964,16228,8,29
1789022274|4500|4787|base-4787|base_periodic|2888904,1269200,1490664,2888928,0,1252964,16228,8,29
1789022574|4800|5087|base-5087|base_periodic|2888904,1269204,1490664,2888928,0,1252968,16228,8,29
1789022874|5100|5387|base-5387|base_periodic|2888904,1269208,1490664,2888928,0,1252972,16228,8,29
1789023174|5400|5687|base-5687|base_periodic|2888904,1269208,1490664,2888928,0,1252972,16228,8,29
