#ts|obs_rel_s|run_rel_s|label|reason|VmSize_kb,VmRSS_kb,VmData_kb,VmPeak_kb,VmSwap_kb,RssAnon_kb,RssFile_kb,RssShmem_kb,Threads
1789138208|0|6|start|startup|1469144,768756,883676,1469144,0,753464,15292,0,18
1789138508|300|306|base-306|base_periodic|1469144,780376,895284,1469156,0,765084,15292,0,18
1789138808|600|606|base-606|base_periodic|1469144,780636,895544,1469156,0,765344,15292,0,18
1789139108|900|906|base-906|base_periodic|1469144,780892,895800,1469156,0,765600,15292,0,18
1789139272|1064|1070|trig-1|trigger_positive|1469144,781036,895944,1469156,0,765744,15292,0,18
1789139287|1079|1085|post-1|post_observation|1469144,781048,895956,1469156,0,765756,15292,0,18
1789139408|1200|1206|base-1206|base_periodic|1469144,781152,896060,1469156,0,765860,15292,0,18
1789139708|1500|1506|base-1506|base_periodic|1469144,781412,896320,1469156,0,766120,15292,0,18
1789140008|1800|1806|base-1806|base_periodic|1469144,781668,896576,1469156,0,766376,15292,0,18
1789140308|2100|2106|base-2106|base_periodic|1469144,781928,896836,1469156,0,766636,15292,0,18
1789140463|2255|2261|trig-2|trigger_positive|1469144,782060,896968,1469156,0,766768,15292,0,18
1789140478|2270|2276|post-2|post_observation|1469144,782072,896980,1469156,0,766780,15292,0,18
1789140608|2400|2406|base-2406|base_periodic|1469144,782188,897096,1469156,0,766896,15292,0,18
1789140908|2700|2706|base-2706|base_periodic|1469144,782444,897352,1469156,0,767152,15292,0,18
1789141208|3000|3006|base-3006|base_periodic|1469144,782704,897612,1469156,0,767412,15292,0,18
1789141508|3300|3306|base-3306|base_periodic|1469144,782964,897872,1469156,0,767672,15292,0,18
1789141654|3446|3452|trig-3|trigger_positive|1469144,783088,897996,1469156,0,767796,15292,0,18
1789141669|3461|3467|post-3|post_observation|1469144,783100,898008,1469156,0,767808,15292,0,18
1789141808|3600|3606|base-3606|base_periodic|1469144,783220,898128,1469156,0,767928,15292,0,18
1789142108|3900|3906|base-3906|base_periodic|1469144,783480,898388,1469156,0,768188,15292,0,18
1789142408|4200|4206|base-4206|base_periodic|1469144,783740,898648,1469156,0,768448,15292,0,18
1789142708|4500|4506|base-4506|base_periodic|1469144,783996,898904,1469156,0,768704,15292,0,18
1789142847|4639|4645|trig-4|trigger_positive|1469144,784116,899024,1469156,0,768824,15292,0,18
1789142862|4654|4660|post-4|post_observation|1469144,784128,899036,1469156,0,768836,15292,0,18
1789143008|4800|4806|base-4806|base_periodic|1469144,784256,899164,1469156,0,768964,15292,0,18
1789143308|5100|5106|base-5106|base_periodic|1536732,784564,901608,1602268,0,769272,15292,0,18
1789143608|5400|5406|base-5406|base_periodic|1536732,784820,901864,1602268,0,769528,15292,0,18
1789143908|5700|5706|base-5706|base_periodic|1536732,785080,902124,1602268,0,769788,15292,0,18
1789143978|5770|5776|trig-5|trigger_positive|1536732,785140,902184,1602268,0,769848,15292,0,18
1789143993|5785|5791|post-5|post_observation|1536732,785152,902196,1602268,0,769860,15292,0,18
1789144202|5994|6000|win-6000|window_periodic|1536732,785332,902376,1602268,0,770040,15292,0,18
1789144208|6000|6006|base-6006|base_periodic|1536732,785336,902380,1602268,0,770044,15292,0,18
1789144262|6054|6060|win-6060|window_periodic|1536732,785384,902428,1602268,0,770092,15292,0,18
1789144323|6115|6121|win-6120|window_periodic|1536732,785436,902480,1602268,0,770144,15292,0,18
1789144382|6174|6180|win-6180|window_periodic|1536732,785488,902532,1602268,0,770196,15292,0,18
1789144442|6234|6240|win-6240|window_periodic|1536732,785540,902584,1602268,0,770248,15292,0,18
1789144502|6294|6300|win-6300|window_periodic|1536732,785592,902636,1602268,0,770300,15292,0,18
1789144508|6300|6306|base-6306|base_periodic|1536732,785596,902640,1602268,0,770304,15292,0,18
1789144563|6355|6361|win-6360|window_periodic|1536732,785644,902688,1602268,0,770352,15292,0,18
1789144622|6414|6420|win-6420|window_periodic|1536732,785696,902740,1602268,0,770404,15292,0,18
1789144683|6475|6481|win-6480|window_periodic|1536732,785748,902792,1602268,0,770456,15292,0,18
1789144743|6535|6541|win-6541|window_periodic|1536732,785800,902844,1602268,0,770508,15292,0,18
1789144803|6595|6601|win-6601|window_periodic|1536732,785852,902896,1602268,0,770560,15292,0,18
1789144809|6601|6607|base-6607|base_periodic|1536732,785856,902900,1602268,0,770564,15292,0,18
1789144863|6655|6661|win-6661|window_periodic|1536732,785900,902944,1602268,0,770608,15292,0,18
1789144923|6715|6721|win-6721|window_periodic|1536732,785952,902996,1602268,0,770660,15292,0,18
1789144983|6775|6781|win-6781|window_periodic|1536732,786004,903048,1602268,0,770712,15292,0,18
1789145043|6835|6841|win-6841|window_periodic|1536732,786056,903100,1602268,0,770764,15292,0,18
1789145104|6896|6902|win-6902|window_periodic|1536732,786108,903152,1602268,0,770816,15292,0,18
1789145110|6902|6908|base-6908|base_periodic|1536732,786116,903160,1602268,0,770824,15292,0,18
1789145164|6956|6962|win-6962|window_periodic|1536732,786160,903204,1602268,0,770868,15292,0,18
1789145166|6958|6964|trig-6|trigger_positive|1536732,786164,903208,1602268,0,770872,15292,0,18
1789145181|6973|6979|post-6|post_observation|1536732,786176,903220,1602268,0,770884,15292,0,18
1789145225|7017|7023|win-7023|window_periodic|1536732,786216,903260,1602268,0,770924,15292,0,18
1789145285|7077|7083|win-7083|window_periodic|1536732,786264,903308,1602268,0,770972,15292,0,18
1789145345|7137|7143|win-7143|window_periodic|1536732,786316,903360,1602268,0,771024,15292,0,18
1789145405|7197|7203|win-7203|window_periodic|1536732,786368,903412,1602268,0,771076,15292,0,18
1789145410|7202|7208|base-7208|base_periodic|1536732,786372,903416,1602268,0,771080,15292,0,18
1789145465|7257|7263|win-7263|window_periodic|1536732,786420,903464,1602268,0,771128,15292,0,18
1789145526|7318|7324|win-7323|window_periodic|1536732,786472,903516,1602268,0,771180,15292,0,18
1789145586|7378|7384|win-7384|window_periodic|1536732,786524,903568,1602268,0,771232,15292,0,18
1789145646|7438|7444|win-7444|window_periodic|1536732,786576,903620,1602268,0,771284,15292,0,18
1789145706|7498|7504|win-7504|window_periodic|1536732,786628,903672,1602268,0,771336,15292,0,18
1789145710|7502|7508|base-7508|base_periodic|1536732,786632,903676,1602268,0,771340,15292,0,18
1789145766|7558|7564|win-7564|window_periodic|1536732,786680,903724,1602268,0,771388,15292,0,18
1789145827|7619|7625|win-7624|window_periodic|1536732,786732,903776,1602268,0,771440,15292,0,18
1789145886|7678|7684|win-7684|window_periodic|1536732,786784,903828,1602268,0,771492,15292,0,18
1789145947|7739|7745|win-7745|window_periodic|1536732,786836,903880,1602268,0,771544,15292,0,18
1789146008|7800|7806|win-7805|window_periodic|1536732,786888,903932,1602268,0,771596,15292,0,18
1789146010|7802|7808|base-7808|base_periodic|1536732,786892,903936,1602268,0,771600,15292,0,18
1789146067|7859|7865|win-7865|window_periodic|1536732,786940,903984,1602268,0,771648,15292,0,18
1789146128|7920|7926|win-7926|window_periodic|1536732,786992,904036,1602268,0,771700,15292,0,18
1789146189|7981|7987|win-7986|window_periodic|1536732,787044,904088,1602268,0,771752,15292,0,18
1789146248|8040|8046|win-8046|window_periodic|1536732,787096,904140,1602268,0,771804,15292,0,18
1789146309|8101|8107|win-8107|window_periodic|1536732,787148,904192,1602268,0,771856,15292,0,18
1789146310|8102|8108|base-8108|base_periodic|1536732,787152,904196,1602268,0,771860,15292,0,18
1789146353|8145|8151|trig-7|trigger_positive|1536732,787188,904232,1602268,0,771896,15292,0,18
1789146369|8161|8167|win-8167|window_periodic|1536732,787200,904244,1602268,0,771908,15292,0,18
1789146369|8161|8167|post-7|post_observation|1536732,787200,904244,1602268,0,771908,15292,0,18
1789146430|8222|8228|win-8227|window_periodic|1536732,787252,904296,1602268,0,771960,15292,0,18
1789146489|8281|8287|win-8287|window_periodic|1536732,787304,904348,1602268,0,772012,15292,0,18
1789146549|8341|8347|win-8347|window_periodic|1536732,787356,904400,1602268,0,772064,15292,0,18
1789146610|8402|8408|win-8407|window_periodic|1536732,787408,904452,1602268,0,772116,15292,0,18
1789146611|8403|8409|base-8409|base_periodic|1536732,787408,904452,1602268,0,772116,15292,0,18
1789146669|8461|8467|win-8467|window_periodic|1536732,787460,904504,1602268,0,772168,15292,0,18
1789146730|8522|8528|win-8527|window_periodic|1536732,787512,904556,1602268,0,772220,15292,0,18
1789146789|8581|8587|win-8587|window_periodic|1536732,787564,904608,1602268,0,772272,15292,0,18
1789146849|8641|8647|win-8647|window_periodic|1536732,787616,904660,1602268,0,772324,15292,0,18
1789146912|8704|8710|base-8709|base_periodic|1536732,787668,904712,1602268,0,772376,15292,0,18
1789147067|8859|8865|end|shutdown|1536720,787804,904836,1602268,0,772512,15292,0,16
