ts,run_rel_s,tid,comm,state,utime_ticks,stime_ticks
1789144082,5880,2511716,media-agent,S,17,18
1789144082,5880,2511725,media-agent,S,0,0
1789144082,5880,2511726,media-agent,S,0,0
1789144082,5880,2511727,media-agent,S,0,0
1789144082,5880,2511728,media-agent,S,0,0
1789144082,5880,2511729,media-agent,S,0,0
1789144082,5880,2511730,media-agent,S,7,25
1789144082,5880,2511731,media-agent,S,0,0
1789144082,5880,2511732,pool-spawner,S,0,0
1789144082,5880,2511733,queue1:src,S,346,1082
1789144082,5880,2511738,queue0:src,S,415,1417
1789144082,5880,2511788,media-agent,S,85,96
1789144082,5880,2511789,decklinkaudiosr,S,584,312
1789144082,5880,2511790,decklinkvideosr,S,695,357
1789144082,5880,2511791,decklinkvideosr,S,887,49613
1789144082,5880,2511792,media-agent,S,240,71
1789144082,5880,2511793,media-agent,S,13,1
1789144082,5880,2511794,media-agent,S,11,31
1789144084,5882,2511716,media-agent,S,17,18
1789144084,5882,2511725,media-agent,S,0,0
1789144084,5882,2511726,media-agent,S,0,0
1789144084,5882,2511727,media-agent,S,0,0
1789144084,5882,2511728,media-agent,S,0,0
1789144084,5882,2511729,media-agent,S,0,0
1789144084,5882,2511730,media-agent,S,7,25
1789144084,5882,2511731,media-agent,S,0,0
1789144084,5882,2511732,pool-spawner,S,0,0
1789144084,5882,2511733,queue1:src,S,346,1083
1789144084,5882,2511738,queue0:src,S,415,1417
1789144084,5882,2511788,media-agent,S,85,96
1789144084,5882,2511789,decklinkaudiosr,S,584,312
1789144084,5882,2511790,decklinkvideosr,S,695,357
1789144084,5882,2511791,decklinkvideosr,R,890,49629
1789144084,5882,2511792,media-agent,S,240,71
1789144084,5882,2511793,media-agent,S,13,1
1789144084,5882,2511794,media-agent,S,11,31
1789144086,5884,2511716,media-agent,S,17,18
1789144086,5884,2511725,media-agent,S,0,0
1789144086,5884,2511726,media-agent,S,0,0
1789144086,5884,2511727,media-agent,S,0,0
1789144086,5884,2511728,media-agent,S,0,0
1789144086,5884,2511729,media-agent,S,0,0
1789144086,5884,2511730,media-agent,S,7,25
1789144086,5884,2511731,media-agent,S,0,0
1789144086,5884,2511732,pool-spawner,S,0,0
1789144086,5884,2511733,queue1:src,S,346,1083
1789144086,5884,2511738,queue0:src,S,416,1417
1789144086,5884,2511788,media-agent,S,85,96
1789144086,5884,2511789,decklinkaudiosr,S,584,313
1789144086,5884,2511790,decklinkvideosr,S,696,357
1789144086,5884,2511791,decklinkvideosr,R,892,49646
1789144086,5884,2511792,media-agent,S,240,71
1789144086,5884,2511793,media-agent,S,13,1
1789144086,5884,2511794,media-agent,S,11,31
1789144089,5887,2511716,media-agent,S,17,18
1789144089,5887,2511725,media-agent,S,0,0
1789144089,5887,2511726,media-agent,S,0,0
1789144089,5887,2511727,media-agent,S,0,0
1789144089,5887,2511728,media-agent,S,0,0
1789144089,5887,2511729,media-agent,S,0,0
1789144089,5887,2511730,media-agent,S,7,25
1789144089,5887,2511731,media-agent,S,0,0
1789144089,5887,2511732,pool-spawner,S,0,0
1789144089,5887,2511733,queue1:src,S,346,1083
1789144089,5887,2511738,queue0:src,S,417,1417
1789144089,5887,2511788,media-agent,S,85,96
1789144089,5887,2511789,decklinkaudiosr,S,584,313
1789144089,5887,2511790,decklinkvideosr,S,696,357
1789144089,5887,2511791,decklinkvideosr,S,895,49662
1789144089,5887,2511792,media-agent,S,241,71
1789144089,5887,2511793,media-agent,S,13,1
1789144089,5887,2511794,media-agent,S,11,31
1789144091,5889,2511716,media-agent,S,17,18
1789144091,5889,2511725,media-agent,S,0,0
1789144091,5889,2511726,media-agent,S,0,0
1789144091,5889,2511727,media-agent,S,0,0
1789144091,5889,2511728,media-agent,S,0,0
1789144091,5889,2511729,media-agent,S,0,0
1789144091,5889,2511730,media-agent,S,7,25
1789144091,5889,2511731,media-agent,S,0,0
1789144091,5889,2511732,pool-spawner,S,0,0
1789144091,5889,2511733,queue1:src,S,346,1084
1789144091,5889,2511738,queue0:src,S,417,1417
1789144091,5889,2511788,media-agent,S,85,96
1789144091,5889,2511789,decklinkaudiosr,S,584,314
1789144091,5889,2511790,decklinkvideosr,S,696,357
1789144091,5889,2511791,decklinkvideosr,S,898,49679
1789144091,5889,2511792,media-agent,S,241,71
1789144091,5889,2511793,media-agent,S,13,1
1789144091,5889,2511794,media-agent,S,11,31
1789144093,5891,2511716,media-agent,S,17,18
1789144093,5891,2511725,media-agent,S,0,0
1789144093,5891,2511726,media-agent,S,0,0
1789144093,5891,2511727,media-agent,S,0,0
1789144093,5891,2511728,media-agent,S,0,0
