cycle,ts,rss_kb,fd,threads,dropped,clock_lost,http_runtime
1,1789138208,420076,10,18,0,0,200
2,1789138236,780144,10,18,0,0,200
3,1789138264,780168,10,18,0,0,200
4,1789138292,780224,10,18,0,0,200
5,1789138321,780224,10,18,0,0,200
6,1789138349,780240,10,18,0,0,200
7,1789138377,780264,10,18,0,0,200
8,1789138405,780288,10,18,0,0,200
9,1789138433,780312,10,18,0,0,200
10,1789138461,780336,10,18,0,0,200
11,1789138489,780360,10,18,0,0,200
12,1789138517,780384,10,18,0,0,200
13,1789138546,780408,10,18,0,0,200
14,1789138574,780432,10,18,0,0,200
15,1789138602,780456,10,18,0,0,200
16,1789138630,780480,10,18,0,0,200
17,1789138658,780504,10,18,0,0,200
18,1789138686,780528,10,18,0,0,200
19,1789138714,780552,10,18,0,0,200
20,1789138742,780580,10,18,0,0,200
21,1789138770,780604,10,18,0,0,200
22,1789138799,780628,10,18,0,0,200
23,1789138827,780652,10,18,0,0,200
24,1789138855,780676,10,18,0,0,200
25,1789138883,780700,10,18,0,0,200
26,1789138911,780724,10,18,0,0,200
27,1789138939,780748,10,18,0,0,200
28,1789138967,780772,10,18,0,0,200
29,1789138995,780796,10,18,0,0,200
30,1789139024,780820,10,18,0,0,200
31,1789139052,780844,10,18,0,0,200
32,1789139080,780868,10,18,0,0,200
33,1789139108,780892,10,18,0,0,200
34,1789139136,780916,10,18,0,0,200
35,1789139164,780940,10,18,0,0,200
36,1789139192,780964,10,18,0,0,200
37,1789139220,780988,10,18,0,0,200
38,1789139248,781016,10,18,0,0,200
39,1789139277,781040,10,18,0,0,200
40,1789139305,781064,10,18,0,0,200
41,1789139333,781088,10,18,0,0,200
42,1789139361,781112,10,18,0,0,200
43,1789139389,781136,10,18,0,0,200
44,1789139417,781160,10,18,0,0,200
45,1789139445,781184,10,18,0,0,200
46,1789139473,781208,10,18,0,0,200
47,1789139502,781232,10,18,0,0,200
48,1789139530,781256,10,18,0,0,200
49,1789139558,781280,10,18,0,0,200
50,1789139586,781304,10,18,0,0,200
51,1789139614,781328,10,18,0,0,200
52,1789139642,781352,10,18,0,0,200
53,1789139670,781376,10,18,0,0,200
54,1789139698,781400,10,18,0,0,200
55,1789139726,781424,10,18,0,0,200
56,1789139755,781452,10,18,0,0,200
57,1789139783,781476,10,18,0,0,200
58,1789139811,781500,10,18,0,0,200
59,1789139839,781524,10,18,0,0,200
60,1789139867,781548,10,18,0,0,200
61,1789139895,781572,10,18,0,0,200
62,1789139923,781596,10,18,0,0,200
63,1789139951,781620,10,18,0,0,200
64,1789139980,781644,10,18,0,0,200
65,1789140008,781668,10,18,0,0,200
66,1789140036,781692,10,18,0,0,200
67,1789140064,781716,10,18,0,0,200
68,1789140092,781740,10,18,0,0,200
69,1789140120,781764,10,18,0,0,200
70,1789140148,781788,10,18,0,0,200
71,1789140176,781812,10,18,0,0,200
72,1789140204,781836,10,18,0,0,200
73,1789140233,781864,10,18,0,0,200
74,1789140261,781888,10,18,0,0,200
75,1789140289,781912,10,18,0,0,200
76,1789140317,781936,10,18,0,0,200
77,1789140345,781960,10,18,0,0,200
78,1789140373,781984,10,18,0,0,200
79,1789140401,782024,10,18,0,0,200
80,1789140429,782032,10,18,0,0,200
81,1789140458,782056,10,18,0,0,200
82,1789140486,782080,10,18,0,0,200
83,1789140514,782104,10,18,0,0,200
84,1789140542,782128,10,18,0,0,200
