#ts|run_rel_s|label|VmSize,VmRSS,VmData,VmPeak,VmSwap,RssAnon,RssFile,RssShmem,Threads
1789181362|4|start|614048,21924,60184,677156,0,6480,15444,0,9
1789181632|274|base-300|681636,21956,62368,681648,0,6512,15444,0,9
1789181932|574|base-600|681636,21956,62368,681648,0,6512,15444,0,9
1789182233|875|base-900|681636,21956,62368,681648,0,6512,15444,0,9
1789182533|1175|base-1200|681636,21956,62368,681648,0,6512,15444,0,9
1789182833|1475|base-1500|681636,21956,62368,681648,0,6512,15444,0,9
1789183133|1775|base-1800|681636,21956,62368,681648,0,6512,15444,0,9
1789183434|2076|base-2100|681636,21956,62368,681648,0,6512,15444,0,9
1789183734|2376|base-2400|681636,21956,62368,681648,0,6512,15444,0,9
1789184034|2676|base-2700|681636,21956,62368,681648,0,6512,15444,0,9
1789184066|2707|end|681636,21956,62368,681648,0,6512,15444,0,9
