#ts|obs_rel_s|run_rel_s|label|reason|VmSize_kb,VmRSS_kb,VmData_kb,VmPeak_kb,VmSwap_kb,RssAnon_kb,RssFile_kb,RssShmem_kb,Threads
1789628098|1|271|start|startup|2956576,1232784,1458080,3022112,0,1216340,16436,8,30
1789628398|301|571|base-571|base_periodic|2956576,1232804,1458080,3022112,0,1216360,16436,8,30
1789628698|601|871|base-871|base_periodic|2956576,1232840,1458080,3022112,0,1216396,16436,8,30
1789628998|901|1171|base-1171|base_periodic|2956576,1232840,1458080,3022112,0,1216396,16436,8,30
1789629298|1201|1471|base-1471|base_periodic|2956576,1232844,1458080,3022112,0,1216400,16436,8,30
1789629598|1501|1771|base-1771|base_periodic|2956576,1232860,1458080,3022112,0,1216416,16436,8,30
1789629898|1801|2071|base-2071|base_periodic|2956576,1232872,1458080,3022112,0,1216428,16436,8,30
1789630198|2101|2371|base-2371|base_periodic|2956576,1232876,1458080,3022112,0,1216432,16436,8,30
1789630498|2401|2671|base-2671|base_periodic|2956576,1232880,1458080,3022112,0,1216436,16436,8,30
1789630798|2701|2971|base-2971|base_periodic|2956576,1232884,1458080,3022112,0,1216440,16436,8,30
1789631098|3001|3271|base-3271|base_periodic|2956576,1232908,1458080,3022112,0,1216464,16436,8,30
1789631398|3301|3571|base-3571|base_periodic|2956576,1232908,1458080,3022112,0,1216464,16436,8,30
1789631698|3601|3871|base-3871|base_periodic|2956576,1232912,1458080,3022112,0,1216468,16436,8,30
1789631998|3901|4171|base-4171|base_periodic|2956576,1232912,1458080,3022112,0,1216468,16436,8,30
1789632298|4201|4471|base-4471|base_periodic|2956576,1232916,1458080,3022112,0,1216472,16436,8,30
1789632598|4501|4771|base-4771|base_periodic|2956576,1232920,1458080,3022112,0,1216476,16436,8,30
1789632898|4801|5071|base-5071|base_periodic|2956576,1232920,1458080,3022112,0,1216476,16436,8,30
1789633198|5101|5371|base-5371|base_periodic|2956576,1232924,1458080,3022112,0,1216480,16436,8,30
1789633498|5401|5671|base-5671|base_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789633798|5701|5971|base-5971|base_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789633828|5731|6001|win-6000|window_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789633888|5791|6061|win-6060|window_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789633948|5851|6121|win-6120|window_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789634008|5911|6181|win-6180|window_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789634068|5971|6241|win-6240|window_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789634098|6001|6271|base-6271|base_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789634128|6031|6301|win-6300|window_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789634188|6091|6361|win-6360|window_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789634248|6151|6421|win-6420|window_periodic|2956576,1232928,1458080,3022112,0,1216484,16436,8,30
1789634308|6211|6481|win-6480|window_periodic|2956576,1232968,1458080,3022112,0,1216524,16436,8,30
1789634368|6271|6541|win-6540|window_periodic|2956576,1232968,1458080,3022112,0,1216524,16436,8,30
1789634398|6301|6571|base-6571|base_periodic|2956576,1232968,1458080,3022112,0,1216524,16436,8,30
1789634428|6331|6601|win-6600|window_periodic|2956576,1232968,1458080,3022112,0,1216524,16436,8,30
1789634488|6391|6661|win-6660|window_periodic|2956576,1232968,1458080,3022112,0,1216524,16436,8,30
1789634548|6451|6721|win-6720|window_periodic|2956576,1232972,1458080,3022112,0,1216528,16436,8,30
1789634608|6511|6781|win-6780|window_periodic|2956576,1232972,1458080,3022112,0,1216528,16436,8,30
1789634668|6571|6841|win-6840|window_periodic|2956576,1232972,1458080,3022112,0,1216528,16436,8,30
1789634698|6601|6871|base-6871|base_periodic|2956576,1232972,1458080,3022112,0,1216528,16436,8,30
1789634728|6631|6901|win-6900|window_periodic|2956576,1232972,1458080,3022112,0,1216528,16436,8,30
1789634788|6691|6961|win-6960|window_periodic|2956576,1232972,1458080,3022112,0,1216528,16436,8,30
1789634848|6751|7021|win-7020|window_periodic|2956576,1232972,1458080,3022112,0,1216528,16436,8,30
1789634908|6811|7081|win-7080|window_periodic|2956576,1233008,1458116,3022112,0,1216564,16436,8,30
1789634963|6866|7136|trig-1|trigger_positive|2956576,1238636,1463744,3022112,0,1222192,16436,8,30
1789634967|6870|7140|win-7140|window_periodic|2956576,1238636,1463744,3022112,0,1222192,16436,8,30
1789634975|6878|7148|trig-2|trigger_positive|2956576,1244224,1469332,3022112,0,1227780,16436,8,30
1789634978|6881|7151|post-1|post_observation|2956576,1244224,1469332,3022112,0,1227780,16436,8,30
1789634990|6893|7163|post-2|post_observation|2956576,1244224,1469332,3022112,0,1227780,16436,8,30
1789634998|6901|7171|base-7171|base_periodic|2956576,1244224,1469332,3022112,0,1227780,16436,8,30
1789635028|6931|7201|win-7201|window_periodic|2956576,1244224,1469332,3022112,0,1227780,16436,8,30
1789635088|6991|7261|win-7261|window_periodic|2956576,1244224,1469332,3022112,0,1227780,16436,8,30
1789635148|7051|7321|win-7321|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635208|7111|7381|win-7381|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635268|7171|7441|win-7441|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635299|7202|7472|base-7471|base_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635328|7231|7501|win-7501|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635388|7291|7561|win-7561|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635449|7352|7622|win-7621|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635509|7412|7682|win-7681|window_periodic|2956576,1244228,1469332,3022112,0,1227784,16436,8,30
1789635569|7472|7742|win-7741|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635598|7501|7771|base-7771|base_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635629|7532|7802|win-7801|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635689|7592|7862|win-7861|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635749|7652|7922|win-7921|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635809|7712|7982|win-7981|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
1789635869|7772|8042|win-8041|window_periodic|2956576,1244232,1469332,3022112,0,1227788,16436,8,30
