ts,run_rel_s,tid,comm,state,utime_ticks,stime_ticks
1789633707,5880,2932474,media-agent,S,29,19
1789633707,5880,2932483,media-agent,S,0,0
1789633707,5880,2932484,media-agent,S,0,0
1789633707,5880,2932485,media-agent,S,0,0
1789633707,5880,2932486,media-agent,S,0,0
1789633707,5880,2932487,media-agent,S,0,0
1789633707,5880,2932488,media-agent,S,2,30
1789633707,5880,2932489,media-agent,S,0,0
1789633707,5880,2932490,pool-spawner,S,0,0
1789633707,5880,2932491,queue1:src,S,143,1292
1789633707,5880,2932496,decklinkvideosr,S,201,2190
1789633707,5880,2932547,media-agent,S,11,1
1789633707,5880,2932551,media-agent,S,86,95
1789633707,5880,2932553,decklinkaudiosr,S,1572,524
1789633707,5880,2932554,queue0:src,S,187,1376
1789633707,5880,2932555,decklinkvideosr,S,4518,45440
1789633707,5880,2932556,queue3:src,S,847,429
1789633707,5880,2932557,queue2:src,S,1122,415
1789633707,5880,2932558,decklinkvideosr,S,2324,420
1789633707,5880,2932559,decklinkaudiosr,S,982,1574
1789633707,5880,2932560,decklinkvideosr,S,2308,46875
1789633707,5880,2932561,program-audio-q,S,1466,488
1789633707,5880,2932562,program-video-q,S,1039,1707
1789633707,5880,2932563,program-asrc-a:,S,312,2172
1789633707,5880,2932564,program-asrc-b:,S,2357,107
1789633707,5880,2932565,program-vsrc-a:,S,668,1175
1789633707,5880,2932566,program-vsrc-b:,S,1477,1065
1789633707,5880,2932567,media-agent,S,248,26
1789633707,5880,2932568,media-agent,S,12,2
1789633707,5880,2932569,media-agent,S,11,37
1789633709,5882,2932474,media-agent,S,29,19
1789633709,5882,2932483,media-agent,S,0,0
1789633709,5882,2932484,media-agent,S,0,0
1789633709,5882,2932485,media-agent,S,0,0
1789633709,5882,2932486,media-agent,S,0,0
1789633709,5882,2932487,media-agent,S,0,0
1789633709,5882,2932488,media-agent,S,2,30
1789633709,5882,2932489,media-agent,S,0,0
1789633709,5882,2932490,pool-spawner,S,0,0
1789633709,5882,2932491,queue1:src,S,143,1293
1789633709,5882,2932496,decklinkvideosr,S,201,2190
1789633709,5882,2932547,media-agent,S,11,1
1789633709,5882,2932551,media-agent,S,86,95
1789633709,5882,2932553,decklinkaudiosr,S,1572,524
1789633709,5882,2932554,queue0:src,S,187,1377
1789633709,5882,2932555,decklinkvideosr,S,4518,45450
1789633709,5882,2932556,queue3:src,S,847,429
1789633709,5882,2932557,queue2:src,S,1122,415
1789633709,5882,2932558,decklinkvideosr,S,2324,420
1789633709,5882,2932559,decklinkaudiosr,S,982,1574
1789633709,5882,2932560,decklinkvideosr,S,2309,46885
1789633709,5882,2932561,program-audio-q,S,1466,488
1789633709,5882,2932562,program-video-q,S,1039,1708
1789633709,5882,2932563,program-asrc-a:,S,312,2173
1789633709,5882,2932564,program-asrc-b:,S,2358,107
1789633709,5882,2932565,program-vsrc-a:,S,668,1175
1789633709,5882,2932566,program-vsrc-b:,S,1477,1066
1789633709,5882,2932567,media-agent,S,248,26
1789633709,5882,2932568,media-agent,S,12,2
1789633709,5882,2932569,media-agent,S,11,37
1789633711,5884,2932474,media-agent,S,29,19
1789633711,5884,2932483,media-agent,S,0,0
1789633711,5884,2932484,media-agent,S,0,0
1789633711,5884,2932485,media-agent,S,0,0
1789633711,5884,2932486,media-agent,S,0,0
1789633711,5884,2932487,media-agent,S,0,0
1789633711,5884,2932488,media-agent,S,2,30
1789633711,5884,2932489,media-agent,S,0,0
1789633711,5884,2932490,pool-spawner,S,0,0
1789633711,5884,2932491,queue1:src,S,143,1293
1789633711,5884,2932496,decklinkvideosr,S,201,2191
1789633711,5884,2932547,media-agent,S,11,1
1789633711,5884,2932551,media-agent,S,86,95
1789633711,5884,2932553,decklinkaudiosr,S,1573,524
1789633711,5884,2932554,queue0:src,S,187,1377
1789633711,5884,2932555,decklinkvideosr,R,4519,45470
1789633711,5884,2932556,queue3:src,S,848,429
1789633711,5884,2932557,queue2:src,S,1123,415
1789633711,5884,2932558,decklinkvideosr,S,2325,420
1789633711,5884,2932559,decklinkaudiosr,S,982,1575
1789633711,5884,2932560,decklinkvideosr,S,2310,46904
1789633711,5884,2932561,program-audio-q,S,1466,488
1789633711,5884,2932562,program-video-q,S,1040,1708
1789633711,5884,2932563,program-asrc-a:,S,312,2173
1789633711,5884,2932564,program-asrc-b:,S,2359,107
1789633711,5884,2932565,program-vsrc-a:,S,668,1175
