cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed,target
1,1789627833,1040048,14,32,0,0,1,0,25,34,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
2,1789627862,1227172,14,30,0,0,2,0,889,1185,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
3,1789627891,1232772,14,30,0,0,3,0,1753,2337,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
4,1789627919,1232780,14,30,0,0,4,0,2616,3486,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
5,1789627948,1232780,14,30,0,0,5,0,3483,4642,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
6,1789627977,1232780,14,30,0,0,6,0,4347,5793,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
7,1789628006,1232780,14,30,0,0,7,0,5211,6946,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
8,1789628035,1232784,14,30,0,0,8,0,6075,8096,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
9,1789628064,1232784,14,30,0,0,9,0,6939,9250,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
10,1789628092,1232784,14,30,0,0,10,0,7806,10404,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
11,1789628121,1232784,14,30,0,0,11,0,8669,11556,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
12,1789628150,1232784,14,30,0,0,12,0,9533,12706,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
13,1789628179,1232800,14,30,0,0,13,0,10397,13859,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
14,1789628207,1232800,14,30,0,0,14,0,11260,15009,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
15,1789628236,1232800,14,30,0,0,15,0,12127,16166,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
16,1789628265,1232804,14,30,0,0,16,0,12991,17316,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
17,1789628294,1232804,14,30,0,0,17,0,13854,18469,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
18,1789628323,1232804,14,30,0,0,18,0,14718,19619,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
19,1789628351,1232804,14,30,0,0,19,0,15582,20772,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
20,1789628380,1232804,14,30,0,0,20,0,16449,21926,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
21,1789628409,1232804,14,30,0,0,21,0,17313,23079,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
22,1789628438,1232804,14,30,0,0,22,0,18176,24229,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
23,1789628467,1232804,14,30,0,0,23,0,19040,25381,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
24,1789628495,1232804,14,30,0,0,24,0,19904,26531,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
25,1789628524,1232804,14,30,0,0,25,0,20771,27688,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
26,1789628553,1232804,14,30,0,0,26,0,21635,28839,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
27,1789628582,1232820,14,30,0,0,27,0,22499,29991,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
28,1789628611,1232820,14,30,0,0,28,0,23363,31142,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
29,1789628639,1232836,14,30,0,0,29,0,24227,32294,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
30,1789628668,1232840,14,30,0,0,30,0,25093,33448,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
31,1789628697,1232840,14,30,0,0,31,0,25957,34600,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
32,1789628726,1232840,14,30,0,0,32,0,26821,35751,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
33,1789628755,1232840,14,30,0,0,33,0,27685,36903,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
34,1789628783,1232840,14,30,0,0,34,0,28548,38054,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
35,1789628812,1232840,14,30,0,0,35,0,29415,39209,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
36,1789628841,1232840,14,30,0,0,36,0,30279,40360,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
37,1789628870,1232840,14,30,0,0,37,0,31143,41512,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
38,1789628899,1232840,14,30,0,0,38,0,32007,42663,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
39,1789628927,1232840,14,30,0,0,39,0,32871,43816,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
40,1789628956,1232840,14,30,0,0,40,0,33737,44970,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
