cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed,target
1,1788736265,1190312,14,31,0,0,1,0,28,38,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
2,1788736294,1262696,14,29,0,0,2,0,892,1189,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
3,1788736323,1268284,14,29,0,0,3,0,1755,2341,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
4,1788736351,1268296,14,29,0,0,4,0,2619,3492,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
5,1788736380,1268296,14,29,0,0,5,0,3486,4649,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
6,1788736409,1268296,14,29,0,0,6,0,4350,5799,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
7,1788736438,1268296,14,29,0,0,7,0,5216,6954,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
8,1788736467,1268296,14,29,0,0,8,0,6080,8105,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
9,1788736495,1268300,14,29,0,0,9,0,6944,9259,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
10,1788736524,1268300,14,29,0,0,10,0,7811,10413,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
11,1788736553,1268316,14,29,0,0,11,0,8676,11567,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
12,1788736582,1268316,14,29,0,0,12,0,9540,12718,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
13,1788736611,1268316,14,29,0,0,13,0,10404,13871,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
14,1788736639,1268332,14,29,0,0,14,0,11268,15021,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
15,1788736668,1268332,14,29,0,0,15,0,12135,16179,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
16,1788736697,1268332,14,29,0,0,16,0,13000,17331,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
17,1788736726,1268332,14,29,0,0,17,0,13864,18483,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
18,1788736755,1268332,14,29,0,0,18,0,14728,19634,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
19,1788736784,1268336,14,29,0,0,19,0,15592,20787,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
20,1788736812,1268336,14,29,0,0,20,0,16459,21942,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
21,1788736841,1268336,14,29,0,0,21,0,17324,23096,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
22,1788736870,1268336,14,29,0,0,22,0,18187,24246,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
23,1788736899,1268336,14,29,0,0,23,0,19051,25398,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
