cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed
1,1788702993,1024976,14,31,0,0,1,0,24,33,6ede00d0-baf4-573f-a0dd-4a503bf7f766
2,1788703021,1263108,14,29,0,0,2,0,888,1183,4fa33dcb-5f76-5f76-aea8-330df7ada03e
3,1788703050,1268696,14,29,0,0,3,0,1752,2337,6ede00d0-baf4-573f-a0dd-4a503bf7f766
4,1788703079,1268700,14,29,0,0,4,0,2616,3487,4fa33dcb-5f76-5f76-aea8-330df7ada03e
5,1788703108,1268716,14,29,0,0,5,0,3484,4645,6ede00d0-baf4-573f-a0dd-4a503bf7f766
6,1788703137,1268716,14,29,0,0,6,0,4348,5796,4fa33dcb-5f76-5f76-aea8-330df7ada03e
7,1788703165,1268716,14,29,0,0,7,0,5212,6949,6ede00d0-baf4-573f-a0dd-4a503bf7f766
8,1788703194,1268720,14,29,0,0,8,0,6076,8100,4fa33dcb-5f76-5f76-aea8-330df7ada03e
9,1788703223,1268720,14,29,0,0,9,0,6940,9252,6ede00d0-baf4-573f-a0dd-4a503bf7f766
10,1788703252,1268720,14,29,0,0,10,0,7806,10406,4fa33dcb-5f76-5f76-aea8-330df7ada03e
11,1788703281,1268720,14,29,0,0,11,0,8670,11559,6ede00d0-baf4-573f-a0dd-4a503bf7f766
12,1788703309,1268720,14,29,0,0,12,0,9534,12710,4fa33dcb-5f76-5f76-aea8-330df7ada03e
13,1788703338,1268720,14,29,0,0,13,0,10398,13863,6ede00d0-baf4-573f-a0dd-4a503bf7f766
14,1788703367,1268720,14,29,0,0,14,0,11262,15014,4fa33dcb-5f76-5f76-aea8-330df7ada03e
15,1788703396,1268720,14,29,0,0,15,0,12128,16170,6ede00d0-baf4-573f-a0dd-4a503bf7f766
16,1788703425,1268724,14,29,0,0,16,0,12992,17320,4fa33dcb-5f76-5f76-aea8-330df7ada03e
17,1788703453,1268724,14,29,0,0,17,0,13856,18473,6ede00d0-baf4-573f-a0dd-4a503bf7f766
18,1788703482,1268724,14,29,0,0,18,0,14721,19625,4fa33dcb-5f76-5f76-aea8-330df7ada03e
19,1788703511,1268724,14,29,0,0,19,0,15584,20777,6ede00d0-baf4-573f-a0dd-4a503bf7f766
20,1788703540,1268724,14,29,0,0,20,0,16451,21931,4fa33dcb-5f76-5f76-aea8-330df7ada03e
21,1788703569,1268724,14,29,0,0,21,0,17317,23086,6ede00d0-baf4-573f-a0dd-4a503bf7f766
22,1788703597,1268724,14,29,0,0,22,0,18181,24236,4fa33dcb-5f76-5f76-aea8-330df7ada03e
23,1788703626,1268724,14,29,0,0,23,0,19046,25390,6ede00d0-baf4-573f-a0dd-4a503bf7f766
24,1788703655,1268724,14,29,0,0,24,0,19909,26541,4fa33dcb-5f76-5f76-aea8-330df7ada03e
25,1788703684,1268724,14,29,0,0,25,0,20776,27697,6ede00d0-baf4-573f-a0dd-4a503bf7f766
26,1788703713,1268724,14,29,0,0,26,0,21641,28848,4fa33dcb-5f76-5f76-aea8-330df7ada03e
27,1788703741,1268740,14,29,0,0,27,0,22504,30001,6ede00d0-baf4-573f-a0dd-4a503bf7f766
28,1788703770,1268740,14,29,0,0,28,0,23370,31153,4fa33dcb-5f76-5f76-aea8-330df7ada03e
29,1788703799,1268744,14,29,0,0,29,0,24234,32306,6ede00d0-baf4-573f-a0dd-4a503bf7f766
30,1788703828,1268748,14,29,0,0,30,0,25100,33460,4fa33dcb-5f76-5f76-aea8-330df7ada03e
31,1788703857,1268748,14,29,0,0,31,0,25965,34614,6ede00d0-baf4-573f-a0dd-4a503bf7f766
32,1788703885,1268748,14,29,0,0,32,0,26828,35764,4fa33dcb-5f76-5f76-aea8-330df7ada03e
33,1788703914,1268748,14,29,0,0,33,0,27692,36917,6ede00d0-baf4-573f-a0dd-4a503bf7f766
34,1788703943,1268748,14,29,0,0,34,0,28555,38067,4fa33dcb-5f76-5f76-aea8-330df7ada03e
35,1788703972,1268748,14,29,0,0,35,0,29422,39223,6ede00d0-baf4-573f-a0dd-4a503bf7f766
36,1788704001,1268748,14,29,0,0,36,0,30286,40374,4fa33dcb-5f76-5f76-aea8-330df7ada03e
37,1788704029,1268748,14,29,0,0,37,0,31149,41526,6ede00d0-baf4-573f-a0dd-4a503bf7f766
38,1788704058,1268748,14,29,0,0,38,0,32013,42676,4fa33dcb-5f76-5f76-aea8-330df7ada03e
39,1788704087,1268748,14,29,0,0,39,0,32877,43829,6ede00d0-baf4-573f-a0dd-4a503bf7f766
40,1788704116,1268748,14,29,0,0,40,0,33744,44983,4fa33dcb-5f76-5f76-aea8-330df7ada03e
41,1788704145,1268748,14,29,0,0,41,0,34608,46136,6ede00d0-baf4-573f-a0dd-4a503bf7f766
42,1788704173,1268748,14,29,0,0,42,0,35472,47287,4fa33dcb-5f76-5f76-aea8-330df7ada03e
43,1788704202,1268748,14,29,0,0,43,0,36335,48440,6ede00d0-baf4-573f-a0dd-4a503bf7f766
44,1788704231,1268748,14,29,0,0,44,0,37199,49590,4fa33dcb-5f76-5f76-aea8-330df7ada03e
45,1788704260,1268748,14,29,0,0,45,0,38066,50747,6ede00d0-baf4-573f-a0dd-4a503bf7f766
46,1788704289,1268748,14,29,0,0,46,0,38930,51898,4fa33dcb-5f76-5f76-aea8-330df7ada03e
47,1788704317,1268748,14,29,0,0,47,0,39794,53051,6ede00d0-baf4-573f-a0dd-4a503bf7f766
48,1788704346,1268748,14,29,0,0,48,0,40658,54202,4fa33dcb-5f76-5f76-aea8-330df7ada03e
49,1788704375,1268748,14,29,0,0,49,0,41521,55355,6ede00d0-baf4-573f-a0dd-4a503bf7f766
50,1788704404,1268748,14,29,0,0,50,0,42387,56508,4fa33dcb-5f76-5f76-aea8-330df7ada03e
51,1788704433,1268748,14,29,0,0,51,0,43252,57662,6ede00d0-baf4-573f-a0dd-4a503bf7f766
