cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed,target
1,1788839855,1197800,14,31,0,0,1,0,28,37,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
2,1788839884,1270944,14,29,0,0,2,0,892,1189,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
3,1788839913,1276532,14,29,0,0,3,0,1756,2341,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
4,1788839942,1276536,14,29,0,0,4,0,2621,3494,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
5,1788839970,1276536,14,29,0,0,5,0,3488,4649,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
6,1788839999,1276536,14,29,0,0,6,0,4352,5801,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
7,1788840028,1276536,14,29,0,0,7,0,5216,6954,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
8,1788840057,1276536,14,29,0,0,8,0,6080,8105,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
9,1788840086,1276540,14,29,0,0,9,0,6944,9258,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
10,1788840114,1276540,14,29,0,0,10,0,7811,10413,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
11,1788840143,1276540,14,29,0,0,11,0,8675,11565,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
12,1788840172,1276540,14,29,0,0,12,0,9539,12717,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
13,1788840201,1276540,14,29,0,0,13,0,10403,13869,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
14,1788840230,1276552,14,29,0,0,14,0,11267,15021,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
15,1788840259,1276552,14,29,0,0,15,0,12135,16177,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
16,1788840287,1276552,14,29,0,0,16,0,12999,17329,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
17,1788840316,1276552,14,29,0,0,17,0,13863,18481,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
18,1788840345,1276552,14,29,0,0,18,0,14727,19632,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
19,1788840374,1276556,14,29,0,0,19,0,15590,20784,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
20,1788840403,1276556,14,29,0,0,20,0,16457,21940,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
21,1788840431,1276556,14,29,0,0,21,0,17321,23091,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
22,1788840460,1276560,14,29,0,0,22,0,18185,24242,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
23,1788840489,1276560,14,29,0,0,23,0,19049,25394,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
24,1788840518,1276560,14,29,0,0,24,0,19913,26546,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
25,1788840547,1276560,14,29,0,0,25,0,20779,27701,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
26,1788840575,1276560,14,29,0,0,26,0,21643,28852,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
27,1788840604,1276564,14,29,0,0,27,0,22507,30004,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
28,1788840633,1276564,14,29,0,0,28,0,23370,31155,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
29,1788840662,1276568,14,29,0,0,29,0,24235,32307,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
30,1788840691,1276568,14,29,0,0,30,0,25102,33463,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
31,1788840719,1276568,14,29,0,0,31,0,25966,34615,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
32,1788840748,1276568,14,29,0,0,32,0,26829,35766,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
33,1788840777,1276568,14,29,0,0,33,0,27694,36918,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
34,1788840806,1276568,14,29,0,0,34,0,28557,38070,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
35,1788840834,1276568,14,29,0,0,35,0,29423,39225,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
36,1788840863,1276568,14,29,0,0,36,0,30287,40376,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
37,1788840892,1276568,14,29,0,0,37,0,31152,41529,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
38,1788840921,1276568,14,29,0,0,38,0,32016,42680,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
39,1788840950,1276568,14,29,0,0,39,0,32879,43832,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
40,1788840978,1276568,14,29,0,0,40,0,33746,44987,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
41,1788841007,1276572,14,29,0,0,41,0,34610,46139,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
42,1788841036,1276572,14,29,0,0,42,0,35475,47292,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
43,1788841065,1276572,14,29,0,0,43,0,36339,48443,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
44,1788841094,1276572,14,29,0,0,44,0,37203,49595,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
45,1788841123,1276572,14,29,0,0,45,0,38069,50751,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
46,1788841151,1276572,14,29,0,0,46,0,38933,51902,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
47,1788841180,1276572,14,29,0,0,47,0,39797,53054,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
48,1788841209,1276572,14,29,0,0,48,0,40661,54205,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
49,1788841238,1276572,14,29,0,0,49,0,41525,55357,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
50,1788841266,1276572,14,29,0,0,50,0,42391,56512,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
51,1788841295,1276572,14,29,0,0,51,0,43255,57664,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
52,1788841324,1276572,14,29,0,0,52,0,44121,58818,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
53,1788841353,1276572,14,29,0,0,53,0,44984,59970,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
54,1788841382,1276572,14,29,0,0,54,0,45848,61121,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
55,1788841411,1276572,14,29,0,0,55,0,46715,62277,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
56,1788841439,1276572,14,29,0,0,56,0,47579,63428,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
57,1788841468,1276580,14,29,0,0,57,0,48443,64580,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
58,1788841497,1276580,14,29,0,0,58,0,49307,65732,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
59,1788841526,1276580,14,29,0,0,59,0,50172,66885,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
60,1788841555,1276580,14,29,0,0,60,0,51038,68040,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
61,1788841583,1276584,14,29,0,0,61,0,51903,69192,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
62,1788841612,1276584,14,29,0,0,62,0,52767,70344,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
63,1788841641,1276584,14,29,0,0,63,0,53631,71496,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
64,1788841670,1276584,14,29,0,0,64,0,54495,72648,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
65,1788841699,1276584,14,29,0,0,65,0,55361,73803,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
66,1788841727,1276584,14,29,0,0,66,0,56225,74954,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
67,1788841756,1276584,14,29,0,0,67,0,57089,76105,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
68,1788841785,1276584,14,29,0,0,68,0,57954,77257,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
69,1788841814,1276584,14,29,0,0,69,0,58818,78409,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
70,1788841843,1276584,14,29,0,0,70,0,59685,79565,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
71,1788841871,1276584,14,29,0,0,71,0,60549,80717,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
72,1788841900,1276584,14,29,0,0,72,0,61413,81869,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
73,1788841929,1276584,14,29,0,0,73,0,62277,83021,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
74,1788841958,1276584,14,29,0,0,74,0,63141,84172,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
75,1788841987,1276584,14,29,0,0,75,0,64008,85329,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
76,1788842015,1276584,14,29,0,0,76,0,64872,86481,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
77,1788842044,1276584,14,29,0,0,77,0,65736,87632,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
78,1788842073,1276584,14,29,0,0,78,0,66601,88785,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
